#{"t_start": 1768498935.0965388, "env_id": "None"}
r,l,t
-46.052282,24,6.787805
-45.150514,24,6.809409
-41.497226,24,6.830918
-39.018464,24,6.852464
-38.820019,24,6.87412
-41.512717,24,6.89582
-45.171419,24,6.917301
-44.705158,24,6.938752
-41.245849,24,6.960389
-43.744981,24,6.982062
-45.568612,24,7.003531
-44.36982,24,7.024912
-38.806922,24,7.046643
-50.892478,24,7.790055
-45.394321,24,7.814087
-37.628245,24,7.837294
-44.837069,24,7.860034
-43.095095,24,7.882922
-42.128143,24,7.90638
-44.996174,24,7.929672
-43.041049,24,7.9527
-43.234002,24,7.975593
-42.431156,24,7.998473
-40.446499,24,8.021294
-43.121133,24,8.044011
-45.805078,24,8.066773
-44.967673,24,8.089558
-37.564515,24,8.112356
-36.328355,24,8.135147
-44.605568,24,8.157985
-42.560635,24,8.18073
-44.450284,24,8.204205
-44.053467,24,8.228545
-43.25537,24,8.252427
-43.58982,24,8.276343
-42.524119,24,8.300556
-43.075534,24,8.324148
-44.670791,24,8.347012
-46.215082,24,8.370789
-41.484689,24,8.395136
-42.678097,24,8.41885
-44.361845,24,8.44245
-42.316355,24,8.466124
-41.804491,24,8.488897
-42.646305,24,8.510902
-49.88582,24,8.53272
-40.615985,24,8.554548
-47.782312,24,8.576458
-40.752397,24,8.598595
-40.394875,24,8.621041
-43.926861,24,8.643467
-43.822836,24,8.666216
-50.819578,24,8.688393
-43.08337,24,8.710238
-36.714256,24,8.731895
-49.576606,24,8.75351
-34.865578,24,8.775237
-45.879195,24,8.796841
-38.808474,24,8.818605
-45.273341,24,8.840314
-40.627389,24,8.862221
-39.177707,24,8.88413
-42.60712,24,8.906562
-45.911384,24,8.930205
-49.224651,24,8.954041
-43.848486,24,8.977376
-48.388078,24,9.001204
-43.985474,24,9.024026
-43.546475,24,9.0465
-47.028236,24,9.068652
-43.600362,24,9.09027
-45.777731,24,9.111992
-45.170335,24,9.133665
-43.176928,24,9.155367
-41.677272,24,9.177078
-38.237319,24,9.198814
-42.916586,24,9.220508
-39.488366,24,9.242
-39.058105,24,9.263375
-49.782935,24,9.284947
-40.933421,24,9.306499
-47.188386,24,9.328084
-41.69134,24,9.349956
-41.215211,24,9.371589
-39.282242,24,9.393174
-43.284668,24,9.414711
-42.171598,24,9.436385
-40.52674,24,9.458109
-40.723245,24,9.480004
-41.427985,24,9.50151
-44.891353,24,9.522979
-40.078465,24,9.544676
-40.763453,24,9.566246
-44.159126,24,9.587775
-41.275607,24,9.609307
-45.292354,24,9.630872
-42.636225,24,9.652417
-46.520552,24,9.673986
-45.449433,24,10.411519
-45.264535,24,10.435113
-39.216976,24,10.45819
-47.25377,24,10.481154
-43.799588,24,10.504002
-38.545592,24,10.526848
-37.996494,24,10.549732
-39.925622,24,10.572724
-41.109278,24,10.595502
-39.873362,24,10.618299
-42.457688,24,10.641132
-39.932644,24,10.663942
-41.618797,24,10.686656
-37.617,24,10.709353
-39.468722,24,10.732138
-41.322084,24,10.754818
-41.268497,24,10.777795
-43.101908,24,10.800532
-39.170428,24,10.82333
-43.943394,24,10.845979
-37.303668,24,10.868714
-41.483037,24,10.891454
-44.720404,24,10.914197
-44.360163,24,10.93677
-45.917638,24,10.959554
-40.592774,24,10.982433
-43.528937,24,11.00536
-46.963031,24,11.028101
-38.088831,24,11.050815
-44.904825,24,11.073629
-46.614097,24,11.096294
-41.706636,24,11.119076
-41.666682,24,11.141771
-43.637709,24,11.164395
-42.478719,24,11.187122
-34.389405,24,11.20985
-37.006307,24,11.232549
-41.884374,24,11.255168
-41.20966,24,11.278015
-41.72687,24,11.300764
-41.85359,24,11.323427
-44.343879,24,11.346053
-42.547877,24,11.368746
-38.99232,24,11.391303
-44.298668,24,11.413055
-43.651638,24,11.434521
-42.685859,24,11.456237
-48.293505,24,11.478039
-41.133474,24,11.499645
-44.506688,24,11.521189
-40.318509,24,11.542888
-45.092144,24,11.564581
-37.390757,24,11.586213
-41.317596,24,11.607809
-40.621208,24,11.629273
-38.04824,24,11.650829
-39.924768,24,11.672302
-43.425327,24,11.693702
-39.032581,24,11.715221
-43.321246,24,11.736755
-36.801489,24,11.758266
-38.610436,24,11.779758
-42.696711,24,11.801493
-42.232129,24,11.82318
-43.745144,24,11.844724
-36.494215,24,11.866272
-44.76481,24,11.887804
-52.755485,24,11.90938
-43.522499,24,11.93076
-41.742523,24,11.952228
-46.778959,24,11.973714
-49.864558,24,11.995501
-44.049266,24,12.017038
-44.286456,24,12.038633
-42.674212,24,12.060331
-40.094348,24,12.082086
-40.48342,24,12.10358
-37.498582,24,12.12514
-43.815626,24,12.146589
-43.420205,24,12.168068
-41.359817,24,12.189589
-42.423181,24,12.211126
-43.140381,24,12.232623
-41.30388,24,12.254054
-33.523261,24,12.275696
-44.565928,24,13.019599
-43.99549,24,13.042571
-45.138021,24,13.065792
-44.638072,24,13.088882
-43.843974,24,13.111731
-44.320103,24,13.134615
-45.090305,24,13.157026
-36.146251,24,13.179377
-44.582651,24,13.201685
-43.190519,24,13.223447
-41.951627,24,13.245467
-42.350781,24,13.267335
-43.215286,24,13.288964
-44.980452,24,13.310549
-42.764647,24,13.332182
-42.222282,24,13.353821
-44.218337,24,13.375474
-44.778582,24,13.397166
-42.630283,24,13.41881
-44.455888,24,13.440499
-41.187671,24,13.462366
-39.770151,24,13.485127
-35.88072,24,13.507101
-43.896795,24,13.52901
-45.421358,24,13.550993
-47.237115,24,13.572941
-41.561839,24,13.594794
-46.712286,24,13.616643
-44.708811,24,13.638618
-37.120887,24,13.660631
-39.771829,24,13.682562
-46.346992,24,13.704594
-37.636534,24,13.726384
-40.184023,24,13.748239
-41.274351,24,13.769967
-35.603882,24,13.791785
-44.60414,24,13.813482
-41.881744,24,13.835247
-48.692244,24,13.857137
-44.445773,24,13.879007
-44.012105,24,13.90082
-48.250862,24,13.922593
-41.017152,24,13.944356
-45.456273,24,13.966107
-42.969938,24,13.987909
-45.131918,24,14.009797
-44.272364,24,14.031624
-43.666874,24,14.053423
-42.871363,24,14.075245
-39.048232,24,14.096908
-38.563053,24,14.118725
-44.340087,24,14.140501
-43.325563,24,14.162315
-47.096842,24,14.184062
-38.64269,24,14.205811
-43.602184,24,14.227385
-38.48326,24,14.249265
-38.134632,24,14.270947
-41.252273,24,14.292675
-43.80687,24,14.314349
-42.492137,24,14.336202
-41.286045,24,14.357841
-50.215951,24,14.379634
-43.67246,24,14.401427
-40.688324,24,14.423227
-44.493815,24,14.444863
-42.374678,24,14.466888
-40.849789,24,14.488829
-41.800832,24,14.510492
-43.450164,24,14.532241
-45.545863,24,14.553973
-40.692035,24,14.575803
-41.776466,24,14.597488
-42.379149,24,14.619345
-44.49489,24,14.641243
-39.434829,24,14.663013
-52.494189,24,14.684745
-42.981922,24,14.706429
-47.33438,24,14.72825
-43.455131,24,14.74995
-42.918386,24,14.771778
-41.070545,24,14.793404
-49.345406,24,14.815216
-42.318174,24,14.836942
-42.599817,24,14.858683
-38.5022,24,14.88059
-43.364975,24,15.649508
-40.963101,24,15.672086
-38.430692,24,15.693889
-38.365572,24,15.71586
-45.989144,24,15.737636
-47.659554,24,15.759442
-37.240542,24,15.781252
-39.536667,24,15.802922
-45.673756,24,15.824651
-40.426972,24,15.846295
-38.48811,24,15.867979
-43.697199,24,15.889621
-41.505337,24,15.911472
-44.995921,24,15.933489
-42.013349,24,15.955988
-42.051837,24,15.97809
-39.763369,24,16.000368
-41.073992,24,16.023229
-40.891216,24,16.045639
-45.107792,24,16.067599
-37.335921,24,16.089285
-47.095877,24,16.111496
-41.314167,24,16.133699
-40.192096,24,16.155373
-47.065909,24,16.177002
-44.504198,24,16.198707
-41.66797,24,16.22049
-37.564672,24,16.242058
-41.884325,24,16.263734
-38.305198,24,16.285398
-43.780034,24,16.307052
-42.385852,24,16.328717
-42.827397,24,16.350725
-47.31548,24,16.37343
-39.216473,24,16.395246
-46.809287,24,16.416892
-37.948617,24,16.438577
-42.713377,24,16.460295
-40.087828,24,16.482189
-40.774019,24,16.504464
-44.685148,24,16.526728
-41.936798,24,16.548894
-46.91855,24,16.570682
-41.726745,24,16.592267
-43.95162,24,16.613958
-45.503915,24,16.635691
-40.416689,24,16.65744
-38.343796,24,16.679167
-42.32226,24,16.70087
-38.623957,24,16.722453
-42.947764,24,16.744005
-43.778266,24,16.765819
-37.698364,24,16.788019
-38.988566,24,16.809874
-41.211059,24,16.831531
-41.738642,24,16.853203
-37.045349,24,16.874884
-37.764873,24,16.896509
-43.077733,24,16.918143
-43.273795,24,16.939839
-47.586671,24,16.961418
-35.584369,24,16.982912
-38.359282,24,17.004672
-43.647292,24,17.026454
-42.169879,24,17.048423
-35.676245,24,17.070317
-44.357525,24,17.09241
-43.373319,24,17.11507
-39.004852,24,17.138078
-42.877358,24,17.161275
-41.225858,24,17.184987
-40.538198,24,17.208444
-37.381392,24,17.232091
-44.304359,24,17.256647
-41.65111,24,17.280762
-36.099164,24,17.304841
-42.403224,24,17.329105
-38.220217,24,17.354317
-41.974888,24,17.378679
-36.980792,24,17.403189
-53.90103,24,17.426598
-41.938264,24,17.449235
-39.747404,24,17.471451
-43.950477,24,17.494899
-41.379523,24,17.519317
-45.222202,24,18.281186
-44.977029,24,18.304335
-43.648123,24,18.326694
-36.56886,24,18.349119
-41.51736,24,18.371501
-41.519262,24,18.393857
-45.64122,24,18.41619
-43.279885,24,18.43838
-35.521371,24,18.460741
-45.99674,24,18.483081
-40.882182,24,18.505687
-40.740503,24,18.527977
-38.61704,24,18.550321
-42.393844,24,18.572594
-36.076792,24,18.59486
-44.164437,24,18.616942
-49.162323,24,18.639254
-49.432622,24,18.661374
-39.114904,24,18.683523
-37.451712,24,18.70566
-37.149492,24,18.728045
-43.506668,24,18.751493
-42.373478,24,18.775292
-41.699087,24,18.798891
-34.76672,24,18.822192
-38.43481,24,18.84619
-47.348013,24,18.869567
-36.564033,24,18.892536
-48.433854,24,18.915045
-37.82688,24,18.937394
-42.356931,24,18.959904
-41.765167,24,18.982046
-41.786983,24,19.004355
-39.024374,24,19.027085
-40.243655,24,19.0498
-41.966473,24,19.072958
-43.986948,24,19.097027
-44.453167,24,19.121146
-37.833849,24,19.144769
-45.385682,24,19.168391
-42.490816,24,19.191966
-40.277515,24,19.215248
-37.32602,24,19.238059
-42.028077,24,19.260897
-45.267948,24,19.283594
-42.408849,24,19.306449
-37.898385,24,19.32988
-39.880848,24,19.352821
-41.592535,24,19.375278
-43.356984,24,19.397912
-36.890748,24,19.420659
-37.903918,24,19.443139
-39.037758,24,19.465609
-39.443674,24,19.48829
-38.962957,24,19.510789
-45.542815,24,19.532885
-50.819195,24,19.555036
-38.45762,24,19.577084
-40.732297,24,19.599632
-40.515868,24,19.622314
-42.556716,24,19.644662
-47.387695,24,19.667139
-40.307174,24,19.689926
-35.68389,24,19.712625
-40.544533,24,19.735055
-40.309065,24,19.757964
-36.085661,24,19.780874
-47.408533,24,19.803363
-37.740146,24,19.825829
-42.251727,24,19.84831
-39.764702,24,19.871002
-40.669752,24,19.893447
-43.987273,24,19.915865
-41.308774,24,19.938271
-41.177176,24,19.960883
-43.519696,24,19.983813
-42.508948,24,20.006684
-42.075462,24,20.029061
-39.881781,24,20.051011
-38.402829,24,20.073594
-36.588714,24,20.097144
-42.570281,24,20.120826
-40.260551,24,20.144136
-39.541945,24,20.167345
-35.188182,24,20.190232
-40.239251,24,20.938196
-42.040034,24,20.961651
-48.073842,24,20.984762
